"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date"
"111652","HEARTLITE HOSPICE","1008 PROFESSIONAL BLVD SUITE 4A","","DALTON","GA","30720","Whitfield","(706) 272-1035","4","For-Profit","05/09/2007"
"111654","HOMESTEAD HOSPICE AND PALLIATIVE CARE","1080 HOLCOMB BRIDGE ROAD, BLDG 200, SUITE 100","","ROSWELL","GA","30076","Cobb","(770) 797-9300","4","For-Profit","05/22/2007"
"111658","BETHANY HOSPICE AND PALLIATIVE CARE OF COASTAL GA","109 SOUTH DUVAL STREET","","CLAXTON","GA","30417","Evans","(912) 739-0058","4","For-Profit","08/15/2007"
"111661","SERENITY HOSPICE","23 EASTBROOK BEND, STE  205","","PEACHTREE CITY","GA","30269","Fayette","(678) 216-0571","4","For-Profit","09/14/2007"
"111663","ISLAND HOSPICE, INC","1000 TOWNE CENTR BLVD SUITE 303","","POOLER","GA","31322","Chatham","(912) 629-2727","4","Non-Profit","10/24/2007"
"111665","AMEDISYS HOSPICE OF LAWRENCEVILLE","595 HURRICANE SHOALS ROAD,  NW SUITE 201","","LAWRENCEVILLE","GA","30046","Gwinnett","(678) 442-7338","4","For-Profit","12/20/2007"
"111667","KINDRED HOSPICE","3508 PROFESSIONAL CIRCLE, SUITE A","","AUGUSTA","GA","30907","Columbia","(706) 210-5900","4","For-Profit","01/30/2008"
"111668","REGENCY SOUTHERNCARE-METRO ATLANTA","1051 CULPEPPER DRIVE SW, SUITE 100","","CONYERS","GA","30094","Rockdale","(678) 413-1360","4","For-Profit","03/05/2008"
"111671","COMPASSUS HOSPICE AND PALLIATIVE CARE-MACON","1100 NORTHSIDE DRIVE","","MACON","GA","31210","Bibb","(478) 321-9070","4","Other","06/26/2008"
"111672","AFFINIS CARTERSVILLE","5 S, PUBLIC SQUARE, FLOOR 1","","CARTERSVILLE","GA","30120","Bartow","(678) 689-2343","4","Non-Profit","07/01/2008"
"111673","ASSURED HOSPICE CARE LLC","9B MEDICAL DRIVE, NE","","CARTERSVILLE","GA","30121","Bartow","(770) 387-9578","4","For-Profit","10/01/2008"
"111675","KINDRED HOSPICE","2525 HWY 34 EAST","","NEWNAN","GA","30265","Coweta","(770) 502-1104","4","For-Profit","11/06/2008"
"111676","BRIDGEWAY HOSPICE","1731 MERIWEATHER DRIVE STE 101","","WATKINSVILLE","GA","30677","Oconee","(706) 546-0286","4","For-Profit","10/16/2008"
"111677","PRUITTHEALTH HOSPICE-UNION CITY","7345 RED OAK ROAD BUILDING 25","","UNION CITY","GA","30291","Fulton","(770) 254-8612","4","For-Profit","04/01/2009"
"111680","LONGLEAF HOSPICE, LLC","2310 PARKLAKE DRIVE SUITE 325","","ATLANTA","GA","30345","DeKalb","(770) 939-9179","4","For-Profit","09/23/2009"
"111682","COMPASSUS-NORTH GEORGIA II","583 HIGHLAND CROSSING, SUITE 120","","ELLIJAY","GA","30540","Gilmer","(706) 686-5244","4","For-Profit","06/29/2009"
"111684","SERENITY HOSPICE CARE, LLC","1057 N HOUSTON ROAD","","WARNER ROBINS","GA","31093","Houston","(478) 275-2023","4","For-Profit","10/15/2009"
"111685","AMEDISYS HOSPICE CARE OF NEWNAN","1825 HIGHWAY 34 EAST,SUITE 2200","","NEWNAN","GA","30265","Coweta","(770) 502-3667","4","Other","11/03/2009"
"111686","AMEDISYS HOSPICE CARE OF KENNESAW","4255 WADE GREEN ROAD NW , BLDG 300 SUITE 320","","KENNESAW","GA","30144","Cobb","(770) 423-1316","4","For-Profit","11/20/2009"
"111687","AMEDISYS HOSPICE CARE OF CARTERSVILLE","102 E MAIN STREET","","CARTERSVILLE","GA","30120","Bartow","(770) 382-0114","4","Other","11/05/2009"
"111689","TWELVE OAKS HOSPICE, INC","500 SUN VALLEY DRIVE SUITE G3","","ROSWELL","GA","30076","Cobb","(770) 992-2386","4","For-Profit","01/06/2010"
"111690","AFFINIS HOSPICE, LLC","507 NORTH JEFFERSON STREET","","ALBANY","GA","31702","Dougherty","(229) 435-2109","4","Other","03/05/2010"
"111691","ETERNAL HOPE HOSPICE","123 N. 18TH STREET","","GRIFFIN","GA","30223","Spalding","(770) 229-4673","4","Other","04/19/2010"
"111692","AMITY CARE","161 VILLAGE PARKWAY, BUILDING 7","","MARIETTA","GA","30067","Cobb","(678) 402-5235","4","Other","04/01/2010"
"111693","HOMESTEAD HOSPICE OF MARIETTA, INC","1 N TENNESSEE STREET","","CARTERSVILLE","GA","30120","Bartow","(678) 290-4817","4","For-Profit","04/14/2010"
"111694","COMPASSUS-WRIGHTSVILLE","6585 EAST  COLLEGE STREET","","WRIGHTSVILLE","GA","31096","Johnson","(478) 864-8118","4","For-Profit","06/06/2010"
"111695","EMBRACE  HOSPICE","1585 OLD NORCROSS ROAD SUITE 205","","LAWRENCEVILLE","GA","30046","Gwinnett","(678) 691-7151","4","For-Profit","06/23/2010"
"111697","AGAPE HOSPICE OF NORTHEAST GEORGIA","575 OLD NORCROSS ROAD, SUITE A","","LAWRENCEVILLE","GA","30045","Gwinnett","(770) 688-1087","4","For-Profit","07/06/2010"
"111698","COMPASSUS-SAVANNAH","107 SOUTHEREN BLVD SUITE 2003","","SAVANNAH","GA","31405","Chatham","(912) 354-3727","4","Other","07/26/2010"
"111700","HALCYON HOSPICE","327 WESTVIEW DRIVE","","VILLA RICA","GA","30180","Carroll","(770) 456-4643","4","Other","07/12/2010"
"111702","COMPASSIONATE CARE HOSPICE OF SAVANNAH, LLC","138 CANAL STREET SUITES 304/305","","POOLER","GA","31322","Chatham","(912) 691-5755","4","For-Profit","05/20/2010"
"111703","HEARTLITE HOSPICE","772 MADDOX DRIVE, SUITE 112","","ELLIJAY","GA","30540","Gilmer","(706) 635-7001","4","Other","09/29/2010"
"111704","ENCOMPASS HEALTH HOSPICE","1000 COBB PLACE BLVD NW SUITE 310","","KENNESAW","GA","30144","Cobb","(678) 218-5745","4","For-Profit","01/26/2011"
"111705","COMPASSIONATE CARE HOSPICE OF CENTRAL GEORGIA, LLC","305 SMITHVILLE, CHURCH ROAD, SUITE A&C","","WARNER ROBINS","GA","31088","Houston","(478) 405-7576","4","For-Profit","03/17/2011"
"111707","AMICASA HOSPICE HOME CARE","3482 FLAT SHOALS ROAD","","DECATUR","GA","30034","DeKalb","(404) 537-1960","4","Other","06/16/2011"
"111708","COMPASSIONATE CARE HOSPICE OF NORTHERN GA, LLC","2340 PRINCE AVENUE SUITE A","","ATHENS","GA","30606","Clarke","(706) 369-3550","4","For-Profit","06/23/2011"
"111711","BRISTOL HOSPICE GEORGIA, LLC","2849 PACES FERRY ROAD, SUITE 380","","ATLANTA","GA","30339","Cobb","(770) 434-9530","4","Other","08/26/2011"
"111713","INTERIM HEALTHCARE OF ATLANTA","5555 GLENRIDGE CONNECTOR  SUITE 750","","ATLANTA","GA","30342","Fulton","(404) 856-6110","4","For-Profit","09/15/2011"
"111714","MT BERRY HOSPICE","4300 MARTHA BERRY HWY NE","","ROME","GA","30165","Floyd","(706) 814-0178","4","For-Profit","11/03/2011"
"111715","GLORY HOSPICE AND PALLIATIVE CARE","114 ENTERPRISE COURT","","COLUMBUS","GA","31904","Muscogee","(706) 507-5445","4","For-Profit","11/10/2011"
"111716","HOMESTEAD HOSPICE  & PALLIATIVE CARE","1561 LENRU ROAD SUITE A","","BOGART","GA","30622","Clarke","(706) 548-8444","4","For-Profit","11/11/2011"
"111717","NORTH STAR HOSPICE","12 SAMMY MCGEE BLVD STE 202","","JASPER","GA","30143","Pickens","(706) 403-4033","4","For-Profit","12/08/2011"
"111718","AMEDISYS HOSPICE","53 ROCK DRIVE","","TOCCOA","GA","30577","Stephens","(706) 827-0020","4","For-Profit","12/14/2011"
"111719","AFFINIS HOSPICE, LLC- GAINESVILLE","2565 THOMPSON BRIDGE ROAD SUITE 201","","GAINESVILLE","GA","30501","Hall","(678) 989-0981","4","Other","01/05/2012"
"111720","COMFORT CARE HOSPICE","88 HERITAGE STREET","","BAXLEY","GA","31513","Appling","(912) 367-4146","4","For-Profit","02/27/2012"
"111722","ST JOSEPH HOSPICE, LLC","1220 GEORGE C WILSON DRIVE","","AUGUSTA","GA","30909","Richmond","(706) 922-7480","4","For-Profit","06/04/2012"
"111723","HOMESTEAD HOSPICE & PALLIATIVE CARE","794 MCDONOUGH ROAD, SUITE 107","","JACKSON","GA","30233","Butts","(770) 775-0100","4","For-Profit","05/10/2012"
"111724","HOMESTEAD HOSPICE & PALLIATIVE CARE","772 GREISON TRAIL, SUITE H","","NEWNAN","GA","30263","Coweta","(678) 423-3330","4","For-Profit","05/18/2012"
"111726","TAPESTRY HOSPICE OF NORTHWEST GEORGIA, LLC","105 LAUREL CREEK ROAD, SUITE 5","","CALHOUN","GA","30701","Gordon","(706) 383-8812","4","For-Profit","07/25/2012"
"111727","ATRIUM HOSPICE","2302 PARKLAKE DRIVE, SUITE 558","","ATLANTA","GA","30345","DeKalb","(404) 368-8655","4","For-Profit","08/23/2011"
"111728","AFFINIS HOSPICE LLC- NEWNAN","21 HIGHLAND DRIVE","","NEWNAN","GA","30263","Coweta","(404) 832-4232","4","For-Profit","09/27/2012"
"111731","ATLANTA FAMILY HOSPICE AND PALLIATIVE CARE II, LLC","5950 LIVE OAK PARKWAY, SUITE 240","","NORCROSS","GA","30093","Gwinnett","(770) 892-1637","4","For-Profit","12/03/2012"
"111732","ENCOMPASS  HEALTH HOSPICE","4128 MADELINE DRIVE, SUITE B","","AUGUSTA","GA","30909","Richmond","(706) 550-9966","4","For-Profit","10/11/2012"
"111733","AGAPE HOSPICE CARE OF CARROLLTON, LLC","126 WEST MONTGOMERY STREET","","VILLA RICA","GA","30180","Carroll","(678) 664-0252","4","For-Profit","01/31/2013"
"111734","BRIDGEWAY HOSPICE","200 BUSINESS CENTER DRIVE","","STOCKBRIDGE","GA","30281","Henry","(678) 583-2269","4","For-Profit","02/08/2013"
"111735","SHEPHERD CARE HOSPICE","1501 B KALAMAZOO DRIVE","","GRIFFIN","GA","30224","Pike","(678) 603-1321","4","For-Profit","02/28/2013"
"111736","INTEGRITY HOSPICE","101 WEST JACKSON STREET SUITE A","","DUBLIN","GA","31021","Laurens","(478) 272-0023","4","For-Profit","03/28/2013"
"111737","LORNA HOSPICE","4045 ORCHARD ROAD, FL#2, SUITE 300","","SMYRNA","GA","30080","Cobb","(404) 681-5413","4","For-Profit","04/11/2013"
"111738","HOSPICE CARE OF GEORGIA","9998 FORD AVENUE, SUITES 4 AND 5","","RICHMOND HILL","GA","31324","Bryan","(912) 335-5820","4","For-Profit","06/20/2013"
"111739","HARMONY HOSPICE","110 HARMONY CROSSING, SUITE 1","","EATONTON","GA","31024","Putnam","(706) 923-4677","4","For-Profit","08/30/2013"
"111740","RELIANCE HOSPICE CARE","625 CARVER ROAD","","GRIFFIN","GA","30224","Pike","(770) 227-9222","4","For-Profit","02/07/2014"
"111741","HOMESTEAD HOSPICE OF NORTHWEST GEORGIA, LLC","1601 HICKORY STREET","","DALTON","GA","30720","Whitfield","(706) 217-1926","4","For-Profit","02/20/2014"
"111742","HOMESTEAD HOSPICE OF AUGUSTA, LLC","4210 COLUMBIA ROAD BLDG 12 SUITE D","","AUGUSTA","GA","30907","Columbia","(706) 396-5600","4","For-Profit","02/27/2014"
"111743","AFFINIS HOSPICE, LLC","1612 MARS HILL ROAD, SUITE A","","WATKINSVILLE","GA","30677","Oconee","(706) 705-6000","4","For-Profit","02/27/2014"
"111744","PROFESSIONAL HOSPICE AND PALLIATIVE CARE, LLC","2140 MCGEE  ROAD, SUITE A-3200","","SNELLVILLE","GA","30078","Gwinnett","(470) 275-6185","4","For-Profit","05/05/2014"
"111745","HOMESTEAD HOSPICE OF CENTRAL GEORGIA, LLC","500 OSIGIAN BLVD SUITE 300","","WARNER ROBINS","GA","31088","Houston","(478) 971-1099","4","For-Profit","06/23/2014"
"111746","AFFINIS HOSPICE","806 MAPLE DRIVE","","VIDALIA","GA","30474","Toombs","(912) 538-0465","4","For-Profit","06/19/2014"
"111747","TENDER TOUCH ATLANTA","44 BROAD STREET NW SUITE #501","","ATLANTA","GA","30303","Fulton","(404) 572-9966","4","For-Profit","08/28/2014"
"111748","AFFINIS HOSPICE, LLC","1365 INTERSTATE PARKWAY","","AUGUSTA","GA","30909","Richmond","(706) 434-0421","4","For-Profit","08/28/2014"
"111749","PALLADIUM HOSPICE AND PALLIATIVE CARE","5415 SUGARLOAF PARKWAY, SUITE 1102","","LAWRENCEVILLE","GA","30043","Gwinnett","(470) 292-3426","4","For-Profit","08/16/2014"
"111750","SOUTHERN GRACE HOSPICE AND PALLIATIVE CARE","80 CANDLER ROAD","","MCDONOUGH","GA","30253","Henry","(678) 432-8811","4","For-Profit","08/28/2014"
"111751","ASTORIA HOSPICE","8322 OFFICE PARK DRIVE UNIT D","","DOUGLASVILLE","GA","30134","Douglas","(404) 445-8505","4","For-Profit","09/25/2014"
"111752","ABERDEEN PLACE HOSPICE","900 OLD ROSWELL LAKES PARKWAY, SUTE 130","","ROSWELL","GA","30076","Fulton","(678) 878-3440","4","For-Profit","09/30/2014"
"111753","HELPING HANDS HOSPICE","3642 WHEELER ROAD","","AUGUSTA","GA","30909","Richmond","(706) 432-8321","4","For-Profit","10/09/2014"
"111754","MAGNOLIA HOSPICE","1374 MANCHESTER DRIVE NE","","CONYERS","GA","30012","Rockdale","(770) 483-9111","4","For-Profit","10/02/2014"
"111755","4FRONT HEALTHCARE OF ATLANTA","34 PEACHTREE STREET, NW, SUITE 2360","","ATLANTA","GA","30303","Fulton","(404) 480-4136","4","For-Profit","01/08/2015"
"111756","HOSPICE NURSES OF GEORGIA, LLC","2385 WALL STREET  SUITE 119","","CONYERS","GA","30013","Rockdale","(678) 964-2313","4","Non-Profit","02/06/2015"
"111757","CIRCLE OF FRIENDS HOSPICE","5835 LIVE OAK PARKWAY, SUITE C","","NORCROSS","GA","30093","Gwinnett","(770) 545-8226","4","For-Profit","01/29/2015"
"111758","QUALITY HEALTH SERVICES HOSPICE","830 PROFESSIONAL CENTER DRIVE","","EASTMAN","GA","31023","Dodge","(478) 374-0609","4","For-Profit","03/10/2015"
"111759","ARCTURUS HOSPICE & PALLIATIVE CARE","11205 ALPHARETTA HWY, SUITE E-3","","ROSWELL","GA","30076","Cherokee","(678) 383-9973","4","For-Profit","04/16/2015"
"111760","GHC HOSPICE","141 SOUTH MACON STREET","","JESUP","GA","31545","Wayne","(912) 427-3202","4","For-Profit","05/07/2015"
"111761","HELPING HEARTS HOSPICE, LLC","2346 WISTERIA DRIVE, SUITE 210","","SNELLVILLE","GA","30078","Gwinnett","(404) 903-4112","4","For-Profit","06/04/2015"
"111762","BRIDGEWAY HOSPICE","1395 SOUTH MARIETTA  PKWY SE, BLDG 400, SUITE 116","","MARIETTA","GA","30067","Cobb","(404) 444-4748","4","Other","05/21/2015"
"111763","ENCOMPASS HEALTH HOSPICE","1760 BASS RD SUITE 202","","MACON","GA","31210","Bibb","(478) 474-1155","4","For-Profit","04/29/2015"
"111764","ANGEL HEART HOMECARE & HOSPICE","3224 WASHINGTON ROAD","","EAST POINT","GA","30344","Fulton","(404) 549-3160","4","For-Profit","06/24/2015"
"111765","HOMESTEAD HOSPICE OF BLAIRSVILLE LLC","168 ROGERS ROAD STE 205","","BLAIRSVILLE","GA","30512","Union","(706) 835-3960","4","For-Profit","07/23/2015"
"111766","SOVEREIGN HOSPICE","6065 ROSWELL RD. SUITE 520","","SANDY SPRINGS","GA","30328","Fulton","(470) 223-3773","4","For-Profit","08/27/2015"
"111768","PRECIOUS HOSPICE","105 HABERSHAM DRIVE, SUITE D","","FAYETTEVILLE","GA","30214","Fayette","(404) 992-5088","4","For-Profit","09/11/2015"
"111769","SOUTHEAST HOSPICE","1203 GEORGE C WILSON DRIVE, SUITE A,","","AUGUSTA","GA","30909","Richmond","(706) 364-3108","4","For-Profit","10/30/2015"
"111770","HOPE HOSPICE OF ATLANTA","5604 WENDY BAGWELL PARKWAY, #422","","HIRAM","GA","30141","Paulding","(678) 903-2159","4","For-Profit","11/24/2015"
"111771","AFFINIS HOSPICE LLC","130 CANAL STREET, SUITE 102 & 103","","POOLER","GA","31322","Chatham","(912) 748-6000","4","For-Profit","11/22/2015"
"111772","ARCADIA HOSPICE, LLC","119 CANAL ST SUITE 103","","POOLER","GA","31322","Bartow","(770) 334-8811","4","For-Profit","08/21/2015"
"111773","INTEGRITY HOSPICE","2925 LEDO ROAD STE 25","","ALBANY","GA","31707","Dougherty","(229) 349-6390","4","For-Profit","02/01/2016"
"111774","CAPSTONE HOSPICE LLC","5672 PEACHTREE PARKWAY, SUITE J","","NORCROSS","GA","30092","Gwinnett","(770) 558-6202","4","For-Profit","04/27/2016"
"111775","4FRONT HEALTHCARE OF SAVANNAH","7505 WATERS AVENUE, SUITE F8","","SAVANNAH","GA","31406","Chatham","(912) 493-9438","4","For-Profit","04/28/2016"
"111776","GOLDEN RULE HOSPICE INC","4080 MCGINNIS FERRY ROAD, SUITE 602","","ALPHARETTA","GA","30005","Forsyth","(470) 395-6567","4","For-Profit","04/28/2016"
"111777","CARIS HEALTHCARE","127 BATTLEFIELD CROSSSING COURT","","RINGGOLD","GA","30736","Catoosa","(706) 944-9110","4","For-Profit","05/25/2016"
"111778","AMERICAN COMFORT GIVERS HOSPICE, LLC","5627 SINGLETON ROAD","","NORCROSS","GA","30093","Gwinnett","(404) 271-0737","4","For-Profit","07/13/2016"
"111780","BRIDGEWAY HOSPICE","2000 RIVERSIDE PARKWAY, SUITE 107","","LAWRENCEVILLE","GA","30043","Gwinnett","(678) 878-3215","4","For-Profit","08/18/2016"
"111781","AFFINIS HOSPICE LLC","248 NE BROAD STREET","","JESUP","GA","31546","Wayne","(912) 916-9795","4","Non-Profit","06/29/2016"
"111782","INSPIRING HOSPICE PARTNERS OF GEORGIA LLC","1252 VIRIGIL LANGFORD RD","","WATKINSVILLE","GA","30677","Oconee","(706) 850-9300","4","For-Profit","09/13/2016"
"111783","CIRCLE OF ANGELS HOSPICE INC","2817 HIGHWAY 212 SW","","CONYERS","GA","30094","Rockdale","(770) 679-1899","4","For-Profit","10/13/2016"
"111784","MABLEHOUSE HOSPICE","2140 MCGEE ROAD SW, SUITE C260","","SNELLVILLE","GA","30078","Gwinnett","(770) 875-5519","4","For-Profit","11/08/2016"
"111785","HEAVENLY HANDS HOSPICE LLC","200 TECHNOLOGY COURT, SUITE E","","SMYRNA","GA","30082","Cobb","(770) 485-9186","4","For-Profit","01/05/2017"
"111786","HOMESPUN HOSPICE, LLC","1060 RED BUD ROAD","","CALHOUN","GA","30701","Gordon","(678) 986-7746","4","For-Profit","03/16/2017"
"111787","PREFERRED CARE HOSPICE LLC","1921 WHITTLESEY ROAD STE 110","","COLUMBUS","GA","31904","Muscogee","(706) 844-1619","4","For-Profit","03/08/2017"
"111788","LOVING ARMS HOSPICE","4919 FLAT SHOALS PARKWAY SUITE 108","","DECATUR","GA","30034","DeKalb","(770) 765-7030","4","For-Profit","06/20/2017"
"111789","TIDEWATER HOSPICE","206 PITCARIN WAY, SUITE B","","AUGUSTA","GA","30909","Richmond","(762) 585-1790","4","For-Profit","08/03/2017"
"111790","INNOVATIVE NURSING SOLUTIONS AND HOSPICE CARE LLC","1818 LAKE FIELD COURT SUITE B","","CONYERS","GA","30013","Rockdale","(404) 784-9158","4","For-Profit","07/14/2017"
"111791","4FRONT HEALTHCARE OF MIDDLE GEORGIA","577 MULBERRY STREET, SUITE 909","","MACON","GA","31201","Bibb","(478) 292-7300","4","For-Profit","07/27/2017"
"111793","GUARDIAN ANGELS HOSPICE","3469 LAWRENCEVILLE HWY #205","","TUCKER","GA","30084","DeKalb","(470) 242-5682","4","For-Profit","11/16/2017"
"111794","ASCENSION HOSPICE & PALLIATIVE CARE","275 CORPORATE CENTER DR SUITE C","","STOCKBRIDGE","GA","30281","Henry","(770) 462-3535","4","For-Profit","11/21/2017"
"111795","FAVOR HOSPICE CARE","1400 BUFORD HWY, SUITE M-3","","SUGAR HILL","GA","30518","Gwinnett","(470) 330-9864","4","For-Profit","04/16/2018"
"111796","SYMPONIA HOSPICE","4288 MEMORIAL DRIVE SUITE A","","DECATUR","GA","30033","DeKalb","(770) 456-5701","4","For-Profit","04/16/2018"
"111797","HOME HOSPICE OF GEORGIA","3235 SATELLITE BLVD, BLDG 400, SUITE 104","","DULUTH","GA","30096","Gwinnett","(678) 468-8855","4","For-Profit","11/15/2017"
"111798","SOLACE HOSPICE","101 MCINTOSH STREET","","VIDALIA","GA","30474","Toombs","(912) 454-8166","4","For-Profit","03/29/2018"
"111799","SACRED JOURNEY HOSPICE","60 OAK HILL BLVD, SUITE 203","","NEWNAN","GA","30265","Coweta","(678) 583-0717","4","For-Profit","04/16/2018"
"121500","ST FRANCIS HOSPICE","24 PUIWA ROAD","","HONOLULU","HI","96817","Honolulu","(808) 595-7566","9","Non-Profit","12/20/1983"
"121501","HOSPICE HAWAII","860 IWILEI RD","","HONOLULU","HI","96817","Honolulu","(808) 924-9255","9","Non-Profit","03/25/1986"
"121503","HOSPICE OF HILO","1011 WAIANUENUE AVENUE","","HILO","HI","96720","Hawaii","(808) 934-2900","9","Non-Profit","08/25/1989"
"121504","HOSPICE MAUI","400 MAHALANI STREET","","WAILUKU","HI","96793","Maui","(808) 244-5555","9","Non-Profit","05/10/1991"
"121505","HOSPICE OF KONA","75-5925 WALUA ROAD, SUITE 101","","KAILUA KONA","HI","96740","Hawaii","(808) 324-7700","9","Non-Profit","02/26/1992"
"121506","NORTH HAWAII HOSPICE, INC","65-1328 KAUAIHAE ROAD","","KAMUELA","HI","96743","Hawaii","(808) 885-7547","9","For-Profit","08/06/1992"
"121507","KAUAI HOSPICE","4457 PAHE'E STREET","","LIHUE","HI","96766","Kauai","(808) 245-7277","9","Non-Profit","02/12/1997"
"121508","BRISTOL HOSPICE - HAWAII, LLC","500 ALA MOANA BOULEVARD, SUITE 4-547","","HONOLULU","HI","96813","Honolulu","(808) 536-8012","9","For-Profit","08/10/2007"
"121509","ISLANDS HOSPICE","1301 YOUNG ST","","HONOLULU","HI","96814","Honolulu","(808) 550-2552","9","Non-Profit","11/26/2009"
"121511","MALAMA OLA HEALTH SERVICES LLC","2459 10TH AVENUE, UPPER COTTAGE","","HONOLULU","HI","96816","Honolulu","(808) 543-1188","9","For-Profit","11/27/2018"
"131501","IDAHO HOME HEALTH & HOSPICE","222 SHOSHONE ST EAST","","TWIN FALLS","ID","83301","Twin Falls","(208) 887-9283","10","For-Profit","04/05/1984"
"131503","ST LUKE'S HOME CARE / HOSPICE","3330 E LOUISE DR, STE 400","","MERIDIAN","ID","83642","Ada","(208) 381-2721","10","Non-Profit","05/19/1986"
"131504","HOSPICE OF NORTH IDAHO","2290 W PRAIRIE AVE","","COEUR D ALENE","ID","83815","Kootenai","(208) 772-7994","10","Non-Profit","05/23/1986"
"131506","HOME HEALTH AND HOSPICE S L M V R M C","601 POLE LINE ROAD","","TWIN FALLS","ID","83301","Twin Falls","(208) 814-7600","10","Non-Profit","10/08/1986"
"131507","SAINT ALPHONSUS HOME HEALTH & HOSPICE","9199 WEST BLACK EAGLE DRIVE","","BOISE","ID","83709","Ada","(208) 321-8641","10","For-Profit","04/28/1987"
"131510","SIGNATURE HEALTHCARE AT HOME","1000 SOUTH 16TH STREET, SUITE C","","PAYETTE","ID","83661","Payette","(208) 642-9222","10","For-Profit","07/18/1990"
"131514","BONNER COMMUNITY HOSPICE","520 NORTH THIRD AVENUE","","SANDPOINT","ID","83864","Bonner","(208) 265-1179","10","Non-Profit","07/22/1992"
"131516","HORIZON HOSPICE EAST","1411 FALLS AVE E, SUITE 615","","TWIN FALLS","ID","83301","Twin Falls","(208) 344-6500","10","For-Profit","03/21/1994"
"131519","FRANKLIN COUNTY MEDICAL CENTER HOSPICE","44 NORTH 1ST EAST","","PRESTON","ID","83263","Franklin","(208) 852-1937","10","Government","11/02/1994"
"131520","HORIZON  HOSPICE","63 W WILLOWBROOK DR","","MERIDIAN","ID","83642","Ada","(208) 888-7877","10","For-Profit","05/08/1995"
"131524","HOSPICE VISIONS","1770 PARK VIEW DRIVE","","TWIN FALLS","ID","83301","Twin Falls","(208) 735-0121","10","Non-Profit","09/07/1995"
"131528","ST JOSEPH REGIONAL MEDICAL CENTER HOSPICE","1250 IDAHO ST","","LEWISTON","ID","83501","Nez Perce","(208) 799-5275","10","For-Profit","09/25/1996"
"131534","SYRINGA GENERAL HOSPITAL HOSPICE","607 WEST MAIN STREET","","GRANGEVILLE","ID","83530","Idaho","(208) 983-1700","10","Other","12/02/1997"
"131538","HOSPICE OF EASTERN IDAHO","1810 MORAN STREET","","IDAHO FALLS","ID","83401","Bonneville","(208) 529-0342","10","Non-Profit","08/01/2000"
"131539","MINIDOKA MEMORIAL HOSPICE","1218 9TH STREET, SUITE 4","","RUPERT","ID","83350","Minidoka","(208) 436-9019","10","Government","05/16/2002"
"131540","ENCOMPASS HEALTH HOSPICE OF IDAHO","16151 N BRINSON STREET","","NAMPA","ID","83687","Canyon","(208) 461-1600","10","For-Profit","07/17/2002"
"131541","ASPEN HOSPICE","3470 WASHINGTON PARKWAY, SUITE B","","IDAHO FALLS","ID","83404","Bonneville","(208) 529-0800","10","For-Profit","08/05/2002"
"131542","INTERMOUNTAIN HOMECARE HOSPICE - CASSIA","1031 E MAIN ST","","BURLEY","ID","83318","Cassia","(208) 678-8844","10","Non-Profit","11/27/2002"
"131544","ALLIANCE HOSPICE OF IDAHO","1655 1ST STREET","","IDAHO FALLS","ID","83401","Bonneville","(208) 733-2234","10","For-Profit","05/09/2003"
"131545","HEART N HOME HOSPICE & PALLIATIVE CARE","1107 NW 11TH STREET","","FRUITLAND","ID","83619","Payette","(208) 452-2663","10","For-Profit","06/17/2004"
"131547","HANDS OF HOPE HOSPICE","1379 EAST 17TH STREET","","IDAHO FALLS","ID","83401","Bonneville","(208) 523-7441","10","For-Profit","03/15/2005"
"131549","ABODE HOSPICE","2090 SOUTH EAGLE ROAD","","MERIDIAN","ID","83642","Ada","(208) 389-2276","10","For-Profit","09/27/2005"
"131550","ENCOMPASS HEALTH HOSPICE OF EASTERN IDAHO","1479 BENCH ROAD SUITE C","","POCATELLO","ID","83201","Bannock","(208) 637-1100","10","For-Profit","03/27/2006"
"131552","SIGNATURE HEALTHCARE AT HOME","240 WEST BURNSIDE AVENUE, SUITE B","","CHUBBUCK","ID","83202","Bannock","(208) 637-2273","10","For-Profit","07/25/2006"
"131553","HARRISON'S HOPE","3137 S MERIDIAN RD, SUITE 120","","MERIDIAN","ID","83642","Ada","(208) 947-6800","10","For-Profit","09/21/2006"
"131555","JOURNEYS HOSPICE","223 EAST AMITY","","NAMPA","ID","83686","Canyon","(208) 353-4285","10","For-Profit","02/06/2007"
"131557","CREST HOME HEALTH AND HOSPICE, LLC","700 IRONWOOD DRIVE, SUITE 255","","COEUR D'ALENE","ID","83814","Kootenai","(208) 765-4343","10","Non-Profit","08/27/2007"
"131558","TREASURE VALLEY HOSPICE","8 6TH STREET NORTH, SUITE 200","","NAMPA","ID","83687","Canyon","(208) 467-7423","10","For-Profit","10/24/2008"
"131559","AUBURN CREST HOSPICE","1221 IRONWOOD DR SUITE 102","","COEUR D'ALENE","ID","83814","Kootenai","(208) 773-7731","10","For-Profit","12/05/2008"
"131563","FIRST CHOICE HOME HEALTH & HOSPICE","12400 WEST OVERLAND ROAD, SUITE 100","","BOISE","ID","83709","Ada","(208) 322-4663","10","For-Profit","07/15/2010"
"131564","HARRISON'S HOPE TWIN FALLS","401 GOODINGS ST N SUITE 107","","TWIN FALLS","ID","83301","Twin Falls","(208) 286-1300","10","For-Profit","09/13/2010"
