Year,National,State,State FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate,Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Total Standardized Costs,Standardized Per Capita Costs,IP Standardized Costs as % of Total Standardized Costs,IP Per Capita Standardized Costs,IP Per User Standardized Costs,% of Beneficiaries Using IP,IP Covered Stays Per 1000 Beneficiaries,IP Covered Days Per 1000 Beneficiaries,Number of Acute Hospital Readmissions,Hospital Readmission Rate,Emergency Department Visits,Emergency Department Visits per 1000 Beneficiaries,% of Beneficiaries with an ED Visit,OP Standardized Costs as % of Total Standardized Costs,OP Per Capita Standardized Costs,OP Per User Standardized Costs,# OP Users,% of Beneficiaries Using OP,OP Visits Per 1000 Beneficiaries,ASC Standardized Costs as % of Total Standardized Costs,ASC Per Capita Standardized Costs,ASC Per User Standardized Costs,# ASC Users,% of Beneficiaries Using ASC,ASC Events Per 1000 Beneficiaries,PAC: SNF Standardized Costs,PAC: SNF Standardized Costs as % of Total Standardized Costs,PAC: SNF Per Capita Standardized Costs,PAC: SNF Per User Standardized Costs,# PAC: SNF Users (with a covered stay),% of Beneficiaries Using PAC: SNF,PAC: SNF Covered Stays Per 1000 Beneficiaries,PAC: SNF Covered Days Per 1000 Beneficiaries,PAC: IRF Standardized Costs,PAC: IRF Standardized Costs as % of Total Standardized Costs,PAC: IRF Per Capita Standardized Costs,PAC: IRF Per User Standardized Costs,# PAC: IRF Users (with a covered stay),% of Beneficiaries Using PAC: IRF,PAC: IRF Covered Stays Per 1000 Beneficiaries,PAC: LTCH Standardized Costs,PAC: LTCH Standardized Costs as % of Total Standardized Costs,PAC: LTCH Per Capita Standardized Costs,PAC: LTCH Per User Standardized Costs,# PAC: LTCH Users (with a covered stay),% of Beneficiaries Using PAC: LTCH,PAC: HH Standardized Costs,PAC: HH Standardized Costs as % of Total Standardized Costs,PAC: HH Per Capita Standardized Costs,PAC: HH Per User Standardized Costs,# PAC: HH Users,% of Beneficiaries Using PAC: HH,PAC: HH Episodes Per 1000 Beneficiaries,Hospice Standardized Costs,Hospice Standardized Costs as % of Total Standardized Costs,Hospice Per Capita Standardized Costs,Hospice Per User Standardized Costs,# Hospice Users (with a covered stay),% of Beneficiaries Using Hospice,Hospice Covered Stays Per 1000 Beneficiaries,Hospice Covered Days Per 1000 Beneficiaries,E&M Standardized Costs,E&M Standardized Costs as % of Total Standardized Costs,E&M Per Capita Standardized Costs,E&M Per User Standardized Costs,# E&M Users,% of Beneficiaries Using E&M,E&M Events Per 1000 Beneficiaries,Procedures Standardized Costs,Procedures Standardized Costs as % of Total Standardized Costs,Procedures Per Capita Standardized Costs,Procedures Per User Standardized Costs,# Procedure Users,% of Beneficiaries Using Procedures,Procedure Events Per 1000 Beneficiaries,Tests Standardized Costs,Tests Standardized Costs as % of Total Standardized Costs,Tests Per Capita Standardized Costs,Tests Per User Standardized Costs,# Test Users,% of Beneficiaries Using Tests,Test Events Per 1000 Beneficiaries,Imaging Standardized Costs,Imaging Standardized Costs as % of Total Standardized Costs,Imaging Per Capita Standardized Costs,Imaging Per User Standardized Costs,# Imaging Users,% of Beneficiaries Using Imaging,Imaging Events Per 1000 Beneficiaries,DME Standardized Costs,DME Standardized Costs as % of Total Standardized Costs,DME Per Capita Standardized Costs,DME Per User Standardized Costs,# DME Users,% of Beneficiaries Using DME,DME Events Per 1000 Beneficiaries,Outpatient Dialysis Facility Standardized Costs,Outpatient Dialysis Facility Standardized Costs as % of Total Standardized Costs,Outpatient Dialysis Facility Per Capita Standardized Costs,Outpatient Dialysis Facility Per User Standardized Costs,# Outpatient Dialysis Facility Users,% of Beneficiaries Using Outpatient Dialysis Facility,Outpatient Dialysis Facility Events Per 1000 Beneficiaries,FQHC/RHC Standardized Costs,FQHC/RHC Standardized Costs as % of Total Standardized Costs,FQHC/RHC Per Capita Standardized Costs,FQHC/RHC Per User Standardized Costs,# FQHC/RHC Users,% of Beneficiaries Using FQHC/RHC,FQHC/RHC Visits Per 1000 Beneficiaries,Ambulance Standardized Costs,Ambulance Standardized Costs as % of Total Standardized Costs,Ambulance Per Capita Standardized Costs,Ambulance Per User Standardized Costs,# Ambulance Users,% of Beneficiaries Using Ambulance,Ambulance Events Per 1000 Beneficiaries,Part B Drugs Standardized Costs,Part B Drugs Standardized Costs as % of Total Standardized Costs,Part B Drugs Per Capita Standardized Costs,Part B Drugs Per User Standardized Costs,# Part B Drugs Users,% of Beneficiaries Using Part B Drugs,Other Services Standardized Costs
2018,,MS (Mississippi),28,451150.00,359810.00,91340.00,20.25 %,75.00,57.17 %,42.83 %,75.30 %,22.61 %,0.58 %,1.50 %,19.59 %,4027414960.96,11193.17,24.92 %,2788.78,15287.82,18.24 %,289.00,1505.00,16282.00,17.29 %,246793.00,686.00,32.79 %,16.54 %,1851.11,2672.61,249213.00,69.26 %,4744.00,1.72 %,192.91,1126.83,61597.00,17.12 %,317.00,431165572.93,10.71 %,1198.31,22421.51,19230.00,5.34 %,73.00,2163.00,66210282.99,1.64 %,184.01,21916.68,3021.00,0.84 %,9.00,80125110.00,1.99 %,222.69,44268.02,1810.00,0.50 %,306892976.34,7.62 %,852.93,6687.43,45891.00,12.75 %,291.00,203870640.62,5.06 %,566.61,15191.55,13420.00,3.73 %,41.00,3394.00,322680741.57,8.01 %,896.81,983.42,328120.00,91.19 %,12840.00,219825777.37,5.46 %,610.95,884.11,248640.00,69.10 %,5280.00,102012341.60,2.53 %,283.52,337.34,302403.00,84.05 %,9852.00,76482260.35,1.90 %,212.56,290.96,262864.00,73.06 %,4291.00,83567108.04,2.07 %,232.25,729.16,114608.00,31.85 %,1970.00,81073552.26,2.01 %,225.32,24823.50,3266.00,0.91 %,1152.00,41886352.29,1.04 %,116.41,542.20,77252.00,21.47 %,1045.00,47023224.32,1.17 %,130.69,1183.58,39730.00,11.04 %,342.00,159878099.62,3.97 %,444.34,760.27,210292.00,58.45 %,65831478.79
2017,,MS (Mississippi),28,439769.00,358383.00,81386.00,18.51 %,75.00,57.25 %,42.75 %,75.21 %,22.82 %,0.57 %,1.40 %,20.15 %,3869661056.85,10797.56,25.99 %,2806.70,15071.97,18.62 %,298.00,1533.00,16979.00,17.60 %,251051.00,701.00,33.31 %,15.90 %,1717.28,2493.66,246804.00,68.87 %,4638.00,1.63 %,176.00,1022.55,61684.00,17.21 %,319.00,425312529.18,10.99 %,1186.75,21700.73,19599.00,5.47 %,75.00,2172.00,58447492.76,1.51 %,163.09,21130.69,2766.00,0.77 %,8.00,85741052.05,2.22 %,239.24,43790.12,1958.00,0.55 %,299265521.88,7.73 %,835.04,6569.32,45555.00,12.71 %,293.00,188017405.92,4.86 %,524.63,14365.63,13088.00,3.65 %,40.00,3173.00,313422864.09,8.10 %,874.55,957.48,327341.00,91.34 %,12683.00,216456725.60,5.59 %,603.98,875.15,247338.00,69.01 %,5168.00,91812791.61,2.37 %,256.19,305.69,300344.00,83.81 %,9774.00,74211544.43,1.92 %,207.07,284.37,260967.00,72.82 %,4264.00,75252762.73,1.94 %,209.98,664.79,113198.00,31.59 %,1949.00,71877765.65,1.86 %,200.56,22287.68,3225.00,0.90 %,1139.00,38854182.91,1.00 %,108.42,507.21,76603.00,21.37 %,998.00,45837715.39,1.18 %,127.90,1176.36,38966.00,10.87 %,330.00,138446399.43,3.58 %,386.31,665.46,208047.00,58.05 %,62310638.54
2016,,MS (Mississippi),28,428810.00,355877.00,72933.00,17.01 %,75.00,57.50 %,42.50 %,75.38 %,22.76 %,0.54 %,1.32 %,20.67 %,3760780553.39,10567.64,26.24 %,2772.69,14853.79,18.67 %,297.00,1574.00,16703.00,17.48 %,246365.00,692.00,33.06 %,14.80 %,1564.54,2318.86,240111.00,67.47 %,4431.00,1.52 %,160.17,957.14,59553.00,16.73 %,305.00,432548690.93,11.50 %,1215.44,21848.10,19798.00,5.56 %,76.00,2261.00,59959072.68,1.59 %,168.48,21277.17,2818.00,0.79 %,8.00,97765523.67,2.60 %,274.72,44662.19,2189.00,0.62 %,307274044.57,8.17 %,863.43,6647.50,46224.00,12.99 %,310.00,177654080.90,4.72 %,499.20,13894.42,12786.00,3.59 %,39.00,3069.00,306418929.49,8.15 %,861.02,944.24,324513.00,91.19 %,12418.00,207105466.81,5.51 %,581.96,862.00,240261.00,67.51 %,4846.00,81962193.25,2.18 %,230.31,276.00,296964.00,83.45 %,9693.00,70615327.61,1.88 %,198.43,275.93,255915.00,71.91 %,4332.00,81076007.13,2.16 %,227.82,710.07,114180.00,32.08 %,2047.00,69833868.34,1.86 %,196.23,22747.19,3070.00,0.86 %,1115.00,34730548.96,0.92 %,97.59,472.38,73523.00,20.66 %,946.00,41396701.36,1.10 %,116.32,1146.90,36094.00,10.14 %,301.00,131492324.38,3.50 %,369.49,646.97,203242.00,57.11 %,60426884.82
2015,,MS (Mississippi),28,418485.00,351604.00,66881.00,15.98 %,75.00,57.68 %,42.32 %,75.60 %,22.64 %,0.53 %,1.23 %,21.30 %,3714668617.39,10564.92,26.10 %,2757.64,14494.12,19.03 %,307.00,1681.00,17206.00,17.68 %,245020.00,697.00,33.20 %,13.84 %,1461.90,2221.35,231395.00,65.81 %,4161.00,1.42 %,150.25,927.57,56954.00,16.20 %,294.00,435136467.68,11.71 %,1237.58,21365.83,20366.00,5.79 %,80.00,2384.00,55107344.97,1.48 %,156.73,20417.69,2699.00,0.77 %,8.00,119094153.81,3.21 %,338.72,45560.12,2614.00,0.74 %,324752238.09,8.74 %,923.63,6904.63,47034.00,13.38 %,342.00,174055445.18,4.69 %,495.03,14138.21,12311.00,3.50 %,38.00,3016.00,304600618.23,8.20 %,866.32,952.64,319744.00,90.94 %,12243.00,193449169.97,5.21 %,550.19,844.58,229048.00,65.14 %,4309.00,85830083.94,2.31 %,244.11,293.51,292427.00,83.17 %,9848.00,69850251.43,1.88 %,198.66,276.28,252828.00,71.91 %,4401.00,94441707.74,2.54 %,268.60,831.74,113547.00,32.29 %,2073.00,67931710.85,1.83 %,193.21,23035.51,2949.00,0.84 %,1070.00,32868817.82,0.88 %,93.48,432.93,75921.00,21.59 %,960.00,43047001.49,1.16 %,122.43,1233.70,34893.00,9.92 %,302.00,119642322.80,3.22 %,340.28,591.52,202263.00,57.53 %,58425158.56
2018,,MO (Missouri),29,954987.00,590607.00,364380.00,38.16 %,75.00,56.30 %,43.70 %,91.43 %,5.23 %,0.90 %,2.44 %,9.73 %,5831619346.81,9873.94,28.08 %,2772.90,15606.47,17.77 %,276.00,1323.00,26232.00,17.20 %,359801.00,609.00,31.60 %,20.45 %,2019.22,2741.89,434942.00,73.64 %,5675.00,1.26 %,124.00,1219.70,60042.00,10.17 %,166.00,482403913.19,8.27 %,816.79,15447.80,31228.00,5.29 %,74.00,1708.00,162996594.71,2.80 %,275.98,22500.91,7244.00,1.23 %,14.00,36453899.69,0.63 %,61.72,44619.22,817.00,0.14 %,218975982.10,3.75 %,370.76,4512.46,48527.00,8.22 %,122.00,254261705.01,4.36 %,430.51,12076.65,21054.00,3.56 %,37.00,2585.00,480347241.43,8.24 %,813.31,907.04,529577.00,89.67 %,11552.00,350444381.89,6.01 %,593.36,902.80,388173.00,65.72 %,4575.00,130034885.41,2.23 %,220.17,275.44,472096.00,79.93 %,7855.00,103174505.58,1.77 %,174.69,244.69,421659.00,71.39 %,3900.00,113877334.58,1.95 %,192.81,701.58,162315.00,27.48 %,1718.00,85615073.82,1.47 %,144.96,23552.98,3635.00,0.62 %,828.00,75872515.03,1.30 %,128.47,516.24,146972.00,24.88 %,1115.00,61408467.43,1.05 %,103.98,1032.80,59458.00,10.07 %,246.00,253732075.23,4.35 %,429.61,774.67,327534.00,55.46 %,118526704.87
2017,,MO (Missouri),29,932301.00,593680.00,338621.00,36.32 %,75.00,56.42 %,43.58 %,91.36 %,5.46 %,0.88 %,2.30 %,10.22 %,5650750220.29,9518.18,28.82 %,2742.83,15264.58,17.97 %,279.00,1345.00,26403.00,17.10 %,367189.00,618.00,32.11 %,19.40 %,1846.11,2512.48,436222.00,73.48 %,5600.00,1.17 %,111.50,1128.81,58640.00,9.88 %,162.00,482314037.74,8.54 %,812.41,15046.92,32054.00,5.40 %,75.00,1739.00,153524264.28,2.72 %,258.60,21690.35,7078.00,1.19 %,13.00,41566199.24,0.74 %,70.01,44313.65,938.00,0.16 %,223451233.05,3.95 %,376.38,4504.97,49601.00,8.35 %,126.00,253633584.84,4.49 %,427.22,11853.70,21397.00,3.60 %,38.00,2595.00,478664818.15,8.47 %,806.27,899.10,532380.00,89.67 %,11524.00,342275365.78,6.06 %,576.53,881.16,388437.00,65.43 %,4467.00,123079945.57,2.18 %,207.32,259.99,473403.00,79.74 %,7963.00,100873299.88,1.79 %,169.91,238.11,423634.00,71.36 %,3937.00,102229003.68,1.81 %,172.20,630.96,162021.00,27.29 %,1695.00,82544385.37,1.46 %,139.04,22442.74,3678.00,0.62 %,830.00,71465083.26,1.26 %,120.38,485.58,147175.00,24.79 %,1115.00,63293699.46,1.12 %,106.61,1048.88,60344.00,10.16 %,250.00,229567290.23,4.06 %,386.69,718.24,319625.00,53.84 %,111710382.35
2016,,MO (Missouri),29,909791.00,598262.00,311529.00,34.24 %,75.00,56.65 %,43.35 %,91.48 %,5.54 %,0.85 %,2.13 %,10.44 %,5539095607.10,9258.65,28.80 %,2666.73,14852.73,17.95 %,277.00,1337.00,26088.00,16.88 %,365501.00,611.00,31.88 %,18.33 %,1697.21,2326.99,436346.00,72.94 %,5429.00,1.12 %,103.41,1041.94,59376.00,9.92 %,160.00,498335568.75,9.00 %,832.97,15022.78,33172.00,5.54 %,77.00,1811.00,146029944.90,2.64 %,244.09,21133.13,6910.00,1.16 %,13.00,47199612.04,0.85 %,78.89,42560.52,1109.00,0.19 %,225793690.76,4.08 %,377.42,4457.48,50655.00,8.47 %,128.00,246035933.44,4.44 %,411.25,11665.45,21091.00,3.53 %,37.00,2540.00,480113075.01,8.67 %,802.51,894.55,536706.00,89.71 %,11427.00,343854851.08,6.21 %,574.76,882.26,389745.00,65.15 %,4354.00,121533399.90,2.19 %,203.14,254.05,478389.00,79.96 %,8182.00,99960104.41,1.80 %,167.08,235.64,424202.00,70.91 %,4067.00,114457464.03,2.07 %,191.32,690.87,165672.00,27.69 %,1779.00,81868628.35,1.48 %,136.84,22534.72,3633.00,0.61 %,820.00,68470146.37,1.24 %,114.45,468.60,146115.00,24.42 %,1091.00,64657176.71,1.17 %,108.08,1036.44,62384.00,10.43 %,256.00,215362187.15,3.89 %,359.98,682.23,315672.00,52.76 %,112778190.99
2015,,MO (Missouri),29,888080.00,599552.00,288528.00,32.49 %,75.00,56.71 %,43.29 %,91.49 %,5.74 %,0.84 %,1.93 %,10.66 %,5533025519.83,9228.60,28.93 %,2670.02,14464.65,18.46 %,287.00,1398.00,27269.00,17.00 %,368282.00,614.00,32.06 %,17.24 %,1591.04,2206.19,432379.00,72.12 %,5179.00,1.02 %,93.87,964.51,58349.00,9.73 %,154.00,537291206.76,9.71 %,896.15,15203.06,35341.00,5.89 %,82.00,2027.00,145117014.59,2.62 %,242.04,20686.67,7015.00,1.17 %,13.00,57304056.74,1.04 %,95.58,45121.30,1270.00,0.21 %,230284033.36,4.16 %,384.09,4430.67,51975.00,8.67 %,132.00,237776641.12,4.30 %,396.59,11421.69,20818.00,3.47 %,36.00,2499.00,491162894.25,8.88 %,819.22,913.33,537768.00,89.70 %,11420.00,338573152.27,6.12 %,564.71,888.72,380967.00,63.54 %,4130.00,122024399.56,2.21 %,203.53,254.68,479122.00,79.91 %,8395.00,100074619.20,1.81 %,166.92,234.95,425934.00,71.04 %,4144.00,132936329.12,2.40 %,221.73,789.93,168289.00,28.07 %,1797.00,81127263.94,1.47 %,135.31,22535.35,3600.00,0.60 %,790.00,68199824.67,1.23 %,113.75,465.75,146431.00,24.42 %,1097.00,72698587.90,1.31 %,121.25,1114.11,65252.00,10.88 %,269.00,198861887.99,3.59 %,331.68,622.10,319660.00,53.32 %,108585769.99
2018,,MT (Montana),30,186445.00,147920.00,38525.00,20.66 %,75.00,52.59 %,47.41 %,92.98 %,0.16 %,0.98 %,5.89 %,9.23 %,1165437788.73,7878.84,26.64 %,2099.09,14648.16,14.33 %,202.00,889.00,3698.00,13.22 %,74345.00,503.00,27.10 %,30.83 %,2428.86,3084.83,116465.00,78.74 %,6947.00,1.00 %,78.61,1117.60,10405.00,7.03 %,112.00,107262252.65,9.20 %,725.14,18266.73,5872.00,3.97 %,51.00,1123.00,12323900.34,1.06 %,83.31,21138.77,583.00,0.39 %,4.00,6733640.39,0.58 %,45.52,50251.05,134.00,0.09 %,24248255.31,2.08 %,163.93,4225.91,5738.00,3.88 %,56.00,38481961.88,3.30 %,260.15,10459.90,3679.00,2.49 %,26.00,1534.00,80242063.12,6.89 %,542.47,636.12,126142.00,85.28 %,8159.00,75015368.65,6.44 %,507.13,853.61,87880.00,59.41 %,4061.00,16619573.47,1.43 %,112.36,174.94,94999.00,64.22 %,3455.00,16459450.93,1.41 %,111.27,176.25,93387.00,63.13 %,2615.00,21561107.30,1.85 %,145.76,593.69,36317.00,24.55 %,1574.00,9281787.11,0.80 %,62.75,22419.78,414.00,0.28 %,372.00,22591551.07,1.94 %,152.73,616.46,36647.00,24.77 %,989.00,10439261.17,0.90 %,70.57,941.51,11088.00,7.50 %,141.00,30900286.03,2.65 %,208.90,481.81,64134.00,43.36 %,11874196.82
2017,,MT (Montana),30,179922.00,138436.00,41486.00,23.06 %,75.00,52.68 %,47.32 %,93.13 %,0.15 %,0.97 %,5.76 %,9.59 %,1045279720.00,7550.64,27.98 %,2112.56,14048.80,15.04 %,212.00,931.00,3599.00,13.21 %,70020.00,506.00,27.25 %,28.16 %,2126.50,2723.08,108106.00,78.09 %,6846.00,1.01 %,76.05,1100.39,9567.00,6.91 %,111.00,102835614.19,9.84 %,742.84,17391.44,5913.00,4.27 %,54.00,1222.00,9986039.25,0.96 %,72.13,20589.77,485.00,0.35 %,4.00,4988875.75,0.48 %,36.04,38975.59,128.00,0.09 %,23766617.10,2.27 %,171.68,4187.21,5676.00,4.10 %,59.00,34511315.53,3.30 %,249.29,9807.14,3519.00,2.54 %,26.00,1472.00,73974136.95,7.08 %,534.36,625.00,118358.00,85.50 %,8203.00,68877333.28,6.59 %,497.54,841.00,81899.00,59.16 %,3954.00,14189211.82,1.36 %,102.50,160.68,88308.00,63.79 %,3483.00,14943160.38,1.43 %,107.94,172.74,86505.00,62.49 %,2591.00,18124096.05,1.73 %,130.92,529.93,34201.00,24.71 %,1581.00,9204970.30,0.88 %,66.49,21357.24,431.00,0.31 %,402.00,18969964.56,1.81 %,137.03,584.05,32480.00,23.46 %,935.00,10150774.91,0.97 %,73.32,932.32,10888.00,7.86 %,146.00,32486238.38,3.11 %,234.67,553.21,58723.00,42.42 %,10906391.72
2016,,MT (Montana),30,172744.00,134464.00,38280.00,22.16 %,75.00,52.85 %,47.15 %,93.40 %,0.15 %,0.94 %,5.51 %,9.30 %,985545773.34,7329.44,27.70 %,2030.05,13544.12,14.99 %,210.00,937.00,3468.00,13.21 %,66986.00,498.00,27.15 %,27.03 %,1981.05,2537.20,104989.00,78.08 %,6810.00,0.99 %,72.38,1038.29,9374.00,6.97 %,110.00,102186156.33,10.37 %,759.95,17229.16,5931.00,4.41 %,55.00,1294.00,9995396.84,1.01 %,74.34,19753.75,506.00,0.38 %,4.00,5045318.55,0.51 %,37.52,46715.91,108.00,0.08 %,23644140.75,2.40 %,175.84,4151.74,5695.00,4.24 %,61.00,33472869.46,3.40 %,248.94,9906.15,3379.00,2.51 %,26.00,1485.00,70178134.58,7.12 %,521.91,610.11,115024.00,85.54 %,8141.00,65364602.66,6.63 %,486.11,834.39,78338.00,58.26 %,3801.00,13419385.24,1.36 %,99.80,160.35,83690.00,62.24 %,3421.00,14336514.48,1.45 %,106.62,170.48,84097.00,62.54 %,2725.00,21989988.91,2.23 %,163.54,654.91,33577.00,24.97 %,1633.00,9309239.53,0.94 %,69.23,22007.66,423.00,0.31 %,424.00,16544698.34,1.68 %,123.04,553.09,29913.00,22.25 %,888.00,9530507.28,0.97 %,70.88,895.16,10647.00,7.92 %,147.00,31004765.81,3.15 %,230.58,554.81,55884.00,41.56 %,10442672.39
2015,,MT (Montana),30,166086.00,132155.00,33931.00,20.43 %,75.00,53.01 %,46.99 %,93.67 %,0.15 %,0.91 %,5.27 %,9.16 %,951289259.85,7198.28,27.63 %,1989.21,13063.24,15.23 %,215.00,981.00,3536.00,13.36 %,64620.00,489.00,26.85 %,25.78 %,1855.39,2354.22,104152.00,78.81 %,6898.00,1.00 %,72.23,1051.43,9078.00,6.87 %,110.00,104832019.13,11.02 %,793.25,16968.60,6178.00,4.67 %,59.00,1386.00,10134645.50,1.07 %,76.69,19194.40,528.00,0.40 %,4.00,5740788.96,0.60 %,43.44,45561.82,126.00,0.10 %,23277164.42,2.45 %,176.14,4103.15,5673.00,4.29 %,61.00,31236797.35,3.28 %,236.36,9146.94,3415.00,2.58 %,27.00,1456.00,71537307.59,7.52 %,541.31,631.73,113239.00,85.69 %,8196.00,61652917.49,6.48 %,466.52,831.00,74191.00,56.14 %,3522.00,12597015.09,1.32 %,95.32,154.44,81565.00,61.72 %,3435.00,14185604.00,1.49 %,107.34,169.88,83505.00,63.19 %,2797.00,26229499.09,2.76 %,198.48,789.09,33240.00,25.15 %,1656.00,9366785.26,0.98 %,70.88,22625.09,414.00,0.31 %,424.00,14699237.65,1.55 %,111.23,513.37,28633.00,21.67 %,861.00,10572671.19,1.11 %,80.00,995.19,10624.00,8.04 %,148.00,28085517.03,2.95 %,212.52,508.39,55244.00,41.80 %,9513081.21
2018,,NE (Nebraska),31,280901.00,237635.00,43266.00,15.40 %,76.00,56.09 %,43.91 %,93.38 %,1.50 %,1.92 %,3.20 %,7.29 %,2246143984.60,9452.08,26.28 %,2483.78,15021.33,16.54 %,242.00,1091.00,7831.00,14.55 %,111821.00,471.00,26.75 %,20.60 %,1946.93,2814.12,164406.00,69.18 %,5415.00,1.41 %,133.43,1081.98,29306.00,12.33 %,197.00,253441508.49,11.28 %,1066.52,18893.81,13414.00,5.64 %,75.00,1808.00,33597014.09,1.50 %,141.38,22901.85,1467.00,0.62 %,7.00,28712359.60,1.28 %,120.83,46762.80,614.00,0.26 %,68508263.95,3.05 %,288.29,4806.25,14254.00,6.00 %,91.00,73724254.68,3.28 %,310.24,10439.57,7062.00,2.97 %,30.00,1851.00,168171808.56,7.49 %,707.69,784.11,214474.00,90.25 %,10413.00,144537298.99,6.43 %,608.23,924.42,156354.00,65.80 %,5623.00,44506166.45,1.98 %,187.29,240.40,185135.00,77.91 %,7773.00,39618767.78,1.76 %,166.72,240.18,164954.00,69.41 %,3490.00,40536768.20,1.80 %,170.58,632.75,64064.00,26.96 %,1731.00,21828425.45,0.97 %,91.86,23197.05,941.00,0.40 %,483.00,35037555.71,1.56 %,147.44,693.20,50545.00,21.27 %,972.00,19059449.97,0.85 %,80.20,844.51,22569.00,9.50 %,183.00,149089143.36,6.64 %,627.39,1067.81,139622.00,58.75 %,41175775.78
2017,,NE (Nebraska),31,273605.00,235282.00,38323.00,14.01 %,76.00,56.36 %,43.64 %,93.46 %,1.61 %,1.91 %,3.01 %,8.04 %,2141734674.81,9102.84,27.41 %,2495.10,14677.75,17.00 %,247.00,1117.00,7850.00,14.43 %,112206.00,477.00,27.01 %,19.58 %,1782.62,2593.05,161747.00,68.75 %,5176.00,1.33 %,121.03,998.63,28515.00,12.12 %,193.00,248954560.29,11.62 %,1058.11,17520.91,14209.00,6.04 %,80.00,1921.00,28166532.55,1.32 %,119.71,21452.04,1313.00,0.56 %,6.00,25484430.28,1.19 %,108.31,44866.95,568.00,0.24 %,68838370.52,3.21 %,292.58,4898.48,14053.00,5.97 %,92.00,70008471.30,3.27 %,297.55,9705.87,7213.00,3.07 %,31.00,1790.00,164518226.76,7.68 %,699.24,774.74,212352.00,90.25 %,10447.00,140178912.05,6.55 %,595.79,909.40,154145.00,65.51 %,5537.00,42173007.94,1.97 %,179.24,229.75,183564.00,78.02 %,7891.00,37424350.59,1.75 %,159.06,228.92,163482.00,69.48 %,3466.00,35821087.43,1.67 %,152.25,563.99,63514.00,26.99 %,1705.00,20236565.86,0.94 %,86.01,22164.91,913.00,0.39 %,483.00,32168781.61,1.50 %,136.72,646.09,49790.00,21.16 %,975.00,19000740.38,0.89 %,80.76,832.39,22827.00,9.70 %,186.00,132615102.85,6.19 %,563.64,966.07,137273.00,58.34 %,41199473.42
2016,,NE (Nebraska),31,265961.00,230537.00,35424.00,13.32 %,76.00,56.60 %,43.40 %,93.74 %,1.66 %,1.86 %,2.75 %,8.25 %,2050205113.89,8893.17,27.31 %,2428.55,14446.05,16.81 %,243.00,1095.00,7299.00,13.88 %,107957.00,468.00,26.67 %,18.69 %,1662.50,2455.86,156063.00,67.70 %,4975.00,1.22 %,108.60,935.68,26757.00,11.61 %,183.00,256523785.68,12.51 %,1112.72,17435.18,14713.00,6.38 %,84.00,2008.00,23976747.66,1.17 %,104.00,21350.62,1123.00,0.49 %,5.00,24371407.23,1.19 %,105.72,44151.10,552.00,0.24 %,67215613.76,3.28 %,291.56,4795.98,14015.00,6.08 %,95.00,70060767.13,3.42 %,303.90,10140.51,6909.00,3.00 %,31.00,1866.00,158966049.53,7.75 %,689.55,763.58,208185.00,90.30 %,10296.00,136054599.34,6.64 %,590.16,914.12,148836.00,64.56 %,5273.00,40582546.54,1.98 %,176.03,226.45,179209.00,77.74 %,7939.00,35884336.00,1.75 %,155.66,226.34,158539.00,68.77 %,3596.00,41121533.24,2.01 %,178.37,648.84,63377.00,27.49 %,1769.00,18784560.91,0.92 %,81.48,22659.30,829.00,0.36 %,465.00,29950637.63,1.46 %,129.92,614.46,48743.00,21.14 %,986.00,18342826.19,0.89 %,79.57,820.07,22367.00,9.70 %,185.00,120214751.96,5.86 %,521.46,903.94,132990.00,57.69 %,39979483.93
2015,,NE (Nebraska),31,258864.00,225314.00,33550.00,12.96 %,76.00,56.79 %,43.21 %,94.13 %,1.66 %,1.79 %,2.42 %,8.51 %,1989432596.99,8829.60,26.89 %,2374.01,13600.25,17.46 %,255.00,1155.00,7766.00,14.55 %,104840.00,465.00,26.83 %,17.88 %,1578.74,2347.92,151501.00,67.24 %,4848.00,1.12 %,98.74,875.43,25414.00,11.28 %,175.00,262220534.92,13.18 %,1163.80,17038.37,15390.00,6.83 %,90.00,2208.00,25225107.59,1.27 %,111.96,21359.11,1181.00,0.52 %,6.00,27744670.86,1.39 %,123.14,46318.32,599.00,0.27 %,65641265.79,3.30 %,291.33,4717.98,13913.00,6.17 %,96.00,67951700.51,3.42 %,301.59,9690.77,7012.00,3.11 %,32.00,1904.00,159780849.94,8.03 %,709.15,785.41,203435.00,90.29 %,10372.00,128331559.84,6.45 %,569.57,905.96,141653.00,62.87 %,4921.00,38470990.84,1.93 %,170.74,219.74,175075.00,77.70 %,8017.00,34168587.61,1.72 %,151.65,219.25,155840.00,69.17 %,3699.00,47133668.62,2.37 %,209.19,751.67,62705.00,27.83 %,1768.00,18143235.22,0.91 %,80.52,22850.42,794.00,0.35 %,452.00,26461942.37,1.33 %,117.44,559.76,47274.00,20.98 %,1003.00,19763797.37,0.99 %,87.72,885.87,22310.00,9.90 %,188.00,117766124.64,5.92 %,522.68,904.75,130164.00,57.77 %,37770902.16
