Year,National,State,State-FIPS-Code,Beneficiaries-with-Part-A-and-Part-B,FFS-Beneficiaries,MA-Beneficiaries,MA-Participation-Rate,Average-Age,Percent-Female,Percent-Male,Percent-Non-Hispanic-White,Percent-African-American,Percent-Hispanic,Percent-Other-Unknown,Percent-Eligible-for-Medicaid,Total-Standardized-Costs,Standardized-Per-Capita-Costs,IP-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,IP-Per-Capita-Standardized-Costs,IP-Per-User-Standardized-Costs,Percent-of-Beneficiaries-Using-IP,IP-Covered-Stays-Per-1000-Beneficiaries,IP-Covered-Days-Per-1000-Beneficiaries,Number-of-Acute-Hospital- Readmissions,Hospital-Readmission-Rate,Emergency-Department-Visits,Emergency-Department-Visits-per-1000-Beneficiaries,Perecnt-of-Beneficiaries-with-an-ED-Visit,OP-Standardized-Costs-as-of-Total-Standardized-Costs,OP-Per-Capita-Standardized-Costs,OP-Per-User-Standardized-Costs,Number-OP-Users,Percent-of-Beneficiaries-Using-OP,OP-Visits-Per-1000-Beneficiaries,ASC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,ASC-Per-Capita-Standardized-Costs,ASC-Per-User-Standardized-Costs,Number-ASC-Users,Percent-of-Beneficiaries-Using-ASC,ASC-Events-Per-1000-Beneficiaries,PAC-SNF-Standardized-Costs,PAC-SNF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-SNF-Per-Capita-Standardized-Costs,PAC-SNF-Per-User-Standardized-Costs,Number-PAC-SNF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-SNF,PAC-SNF-Covered-Stays-Per-1000-Beneficiaries,PAC-SNF-Covered-Days-Per-1000-Beneficiaries,PAC-IRF-Standardized-Costs,PAC-IRF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-IRF-Per-Capita-Standardized-Costs,PAC-IRF-Per-User-Standardized-Costs,Number-PAC-IRF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-IRF,PAC-IRF-Covered-Stays-Per-1000-Beneficiaries,PAC-LTCH-Standardized-Costs,PAC-LTCH-Standardized-Costs-as-Perent-of-Total-Standardized-Costs,PAC-LTCH-Per-Capita-Standardized-Costs,PAC-LTCH-Per-User-Standardized-Costs,Number-PAC-LTCH-Users-with-covered-stay,Percent-of-Beneficiaries-Using-PAC-LTCH,PAC-HH-Standardized-Costs,PAC-HH-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-HH-Per-Capita-Standardized-Costs,PAC-HH-Per-User-Standardized-Costs,Number-PAC-HH-Users,Percent-of-Beneficiaries-Using-PAC-HH,PAC-HH-Episodes-Per-1000-Beneficiaries,Hospice-Standardized-Costs,Hospice-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Hospice-Per-Capita-Standardized-Costs,Hospice-Per-User-Standardized-Costs,Number-Hospice-Users-with-covered-stay,Percent-of-Beneficiaries-Using-Hospice,Hospice-Covered-Stays-Per-1000-Beneficiaries,Hospice-Covered-Days-Per-1000-Beneficiaries,EM-Standardized-Costs,EM-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,EM-Per-Capita-Standardized-Costs,EM-Per-User-Standardized-Costs,Number-EM-Users,Percent-of-Beneficiaries-Using-EM,EM-Events-Per-1000-Beneficiaries,Procedures-Standardized-Costs,Procedures-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Procedures-Per-Capita-Standardized-Costs,Procedure- Per-User-Standardized-Costs,Number-Procedure-Users,Percent-of-Beneficiaries-Using-Procedures,Procedure-Events-Per-1000-Beneficiaries,Tests-Standardized-Costs,Tests-Standardized-Costs as-Percent-of-Total-Standardized-Costs,Tests-Per-Capita-Standardized-Costs,Tests-Per-User-Standardized-Costs,Number-Test-Users,Number-of-Beneficiaries-Using-Tests,Test-Events-Per-1000-Beneficiaries,Imaging-Standardized-Costs,Imaging-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Imaging-Per-Capita-Standardized-Costs,Imaging-Per-User-Standardized-Costs,Number-Imaging-Users,Percent-of-Beneficiaries-Using-Imaging,Imaging-Events-Per-1000-Beneficiaries,DME-Standardized-Costs,DME-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,DME-Per-Capita-Standardized-Costs,DME-Per-User-Standardized-Costs,Number-DME-Users,Percent-of-Beneficiaries-Using-DME,DME-Events-Per-1000-Beneficiaries,Outpatient-Dialysis-Facility-Standardized-Costs,Outpatient-Dialysis-Facility-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Outpatient-Dialysis-Facility-Per-Capita-Standardized-Costs,Outpatient-Dialysis-Facility-Per-User-Standardized-Costs,Number-Outpatient-Dialysis-Facility-Users,Percent-of-Beneficiaries-Using-Outpatient-Dialysis-Facility,Outpatient-Dialysis-Facility-Events-Per-1000-Beneficiaries,FQHC-RHC-Standardized-Costs,FQHC-RHC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,FQHC-RHC-Per-Capita-Standardized-Costs,FQHC-RHC-Per-User-Standardized-Costs,Number-FQHC-RHC-Users,Percent-of-Beneficiaries-Using-FQHC-RHC,FQHC-RHC-Visits-Per-1000-Beneficiaries,Ambulance-Standardized-Costs,Ambulance-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Ambulance-Per-Capita-Standardized-Costs,Ambulance-Per-User-Standardized-Costs,Number-Ambulance-Users,Percent-of-Beneficiaries-Using-Ambulance,Ambulance-Events-Per-1000-Beneficiaries,Part-B-Drugs-Standardized-Costs,Part-B-Drugs-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Part-B-Drugs-Per-Capita-Standardized-Costs,Part-B-Drugs-Per-User-Standardized-Costs,Number-Part-B-Drugs-Users,Percent-of-Beneficiaries-Using-Part-B-Drugs,Other-Services-Standardized-Costs
2016,,MO (Missouri),29,909791,598262,311529,34.24,75,56.65,43.35,91.48,5.54,0.85,2.13,10.44,5539095607,9258.65,28.8,2666.73,14852.73,17.95,277,1337,26088,16.88,365501,611,31.88,18.33,1697.21,2326.99,436346,72.94,5429,1.12,103.41,1041.94,59376,9.92,160,498335568.8,9,832.97,15022.78,33172,5.54,77,1811,146029944.9,2.64,244.09,21133.13,6910,1.16,13,47199612.04,0.85,78.89,42560.52,1109,0.19,225793690.8,4.08,377.42,4457.48,50655,8.47,128,246035933.4,4.44,411.25,11665.45,21091,3.53,37,2540,480113075,8.67,802.51,894.55,536706,89.71,11427,343854851.1,6.21,574.76,882.26,389745,65.15,4354,121533399.9,2.19,203.14,254.05,478389,79.96,8182,99960104.41,1.8,167.08,235.64,424202,70.91,4067,114457464,2.07,191.32,690.87,165672,27.69,1779,81868628.35,1.48,136.84,22534.72,3633,0.61,820,68470146.37,1.24,114.45,468.6,146115,24.42,1091,64657176.71,1.17,108.08,1036.44,62384,10.43,256,215362187.2,3.89,359.98,682.23,315672,52.76,112778191
2015,,MO (Missouri),29,888080,599552,288528,32.49,75,56.71,43.29,91.49,5.74,0.84,1.93,10.66,5533025520,9228.6,28.93,2670.02,14464.65,18.46,287,1398,27269,17,368282,614,32.06,17.24,1591.04,2206.19,432379,72.12,5179,1.02,93.87,964.51,58349,9.73,154,537291206.8,9.71,896.15,15203.06,35341,5.89,82,2027,145117014.6,2.62,242.04,20686.67,7015,1.17,13,57304056.74,1.04,95.58,45121.3,1270,0.21,230284033.4,4.16,384.09,4430.67,51975,8.67,132,237776641.1,4.3,396.59,11421.69,20818,3.47,36,2499,491162894.3,8.88,819.22,913.33,537768,89.7,11420,338573152.3,6.12,564.71,888.72,380967,63.54,4130,122024399.6,2.21,203.53,254.68,479122,79.91,8395,100074619.2,1.81,166.92,234.95,425934,71.04,4144,132936329.1,2.4,221.73,789.93,168289,28.07,1797,81127263.94,1.47,135.31,22535.35,3600,0.6,790,68199824.67,1.23,113.75,465.75,146431,24.42,1097,72698587.9,1.31,121.25,1114.11,65252,10.88,269,198861888,3.59,331.68,622.1,319660,53.32,108585770
2018,,MT (Montana),30,186445,147920,38525,20.66,75,52.59,47.41,92.98,0.16,0.98,5.89,9.23,1165437789,7878.84,26.64,2099.09,14648.16,14.33,202,889,3698,13.22,74345,503,27.1,30.83,2428.86,3084.83,116465,78.74,6947,1,78.61,1117.6,10405,7.03,112,107262252.7,9.2,725.14,18266.73,5872,3.97,51,1123,12323900.34,1.06,83.31,21138.77,583,0.39,4,6733640.39,0.58,45.52,50251.05,134,0.09,24248255.31,2.08,163.93,4225.91,5738,3.88,56,38481961.88,3.3,260.15,10459.9,3679,2.49,26,1534,80242063.12,6.89,542.47,636.12,126142,85.28,8159,75015368.65,6.44,507.13,853.61,87880,59.41,4061,16619573.47,1.43,112.36,174.94,94999,64.22,3455,16459450.93,1.41,111.27,176.25,93387,63.13,2615,21561107.3,1.85,145.76,593.69,36317,24.55,1574,9281787.11,0.8,62.75,22419.78,414,0.28,372,22591551.07,1.94,152.73,616.46,36647,24.77,989,10439261.17,0.9,70.57,941.51,11088,7.5,141,30900286.03,2.65,208.9,481.81,64134,43.36,11874196.82
2017,,MT (Montana),30,179922,138436,41486,23.06,75,52.68,47.32,93.13,0.15,0.97,5.76,9.59,1045279720,7550.64,27.98,2112.56,14048.8,15.04,212,931,3599,13.21,70020,506,27.25,28.16,2126.5,2723.08,108106,78.09,6846,1.01,76.05,1100.39,9567,6.91,111,102835614.2,9.84,742.84,17391.44,5913,4.27,54,1222,9986039.25,0.96,72.13,20589.77,485,0.35,4,4988875.75,0.48,36.04,38975.59,128,0.09,23766617.1,2.27,171.68,4187.21,5676,4.1,59,34511315.53,3.3,249.29,9807.14,3519,2.54,26,1472,73974136.95,7.08,534.36,625,118358,85.5,8203,68877333.28,6.59,497.54,841,81899,59.16,3954,14189211.82,1.36,102.5,160.68,88308,63.79,3483,14943160.38,1.43,107.94,172.74,86505,62.49,2591,18124096.05,1.73,130.92,529.93,34201,24.71,1581,9204970.3,0.88,66.49,21357.24,431,0.31,402,18969964.56,1.81,137.03,584.05,32480,23.46,935,10150774.91,0.97,73.32,932.32,10888,7.86,146,32486238.38,3.11,234.67,553.21,58723,42.42,10906391.72
2016,,MT (Montana),30,172744,134464,38280,22.16,75,52.85,47.15,93.4,0.15,0.94,5.51,9.3,985545773.3,7329.44,27.7,2030.05,13544.12,14.99,210,937,3468,13.21,66986,498,27.15,27.03,1981.05,2537.2,104989,78.08,6810,0.99,72.38,1038.29,9374,6.97,110,102186156.3,10.37,759.95,17229.16,5931,4.41,55,1294,9995396.84,1.01,74.34,19753.75,506,0.38,4,5045318.55,0.51,37.52,46715.91,108,0.08,23644140.75,2.4,175.84,4151.74,5695,4.24,61,33472869.46,3.4,248.94,9906.15,3379,2.51,26,1485,70178134.58,7.12,521.91,610.11,115024,85.54,8141,65364602.66,6.63,486.11,834.39,78338,58.26,3801,13419385.24,1.36,99.8,160.35,83690,62.24,3421,14336514.48,1.45,106.62,170.48,84097,62.54,2725,21989988.91,2.23,163.54,654.91,33577,24.97,1633,9309239.53,0.94,69.23,22007.66,423,0.31,424,16544698.34,1.68,123.04,553.09,29913,22.25,888,9530507.28,0.97,70.88,895.16,10647,7.92,147,31004765.81,3.15,230.58,554.81,55884,41.56,10442672.39
2015,,MT (Montana),30,166086,132155,33931,20.43,75,53.01,46.99,93.67,0.15,0.91,5.27,9.16,951289259.9,7198.28,27.63,1989.21,13063.24,15.23,215,981,3536,13.36,64620,489,26.85,25.78,1855.39,2354.22,104152,78.81,6898,1,72.23,1051.43,9078,6.87,110,104832019.1,11.02,793.25,16968.6,6178,4.67,59,1386,10134645.5,1.07,76.69,19194.4,528,0.4,4,5740788.96,0.6,43.44,45561.82,126,0.1,23277164.42,2.45,176.14,4103.15,5673,4.29,61,31236797.35,3.28,236.36,9146.94,3415,2.58,27,1456,71537307.59,7.52,541.31,631.73,113239,85.69,8196,61652917.49,6.48,466.52,831,74191,56.14,3522,12597015.09,1.32,95.32,154.44,81565,61.72,3435,14185604,1.49,107.34,169.88,83505,63.19,2797,26229499.09,2.76,198.48,789.09,33240,25.15,1656,9366785.26,0.98,70.88,22625.09,414,0.31,424,14699237.65,1.55,111.23,513.37,28633,21.67,861,10572671.19,1.11,80,995.19,10624,8.04,148,28085517.03,2.95,212.52,508.39,55244,41.8,9513081.21
2018,,NE (Nebraska),31,280901,237635,43266,15.4,76,56.09,43.91,93.38,1.5,1.92,3.2,7.29,2246143985,9452.08,26.28,2483.78,15021.33,16.54,242,1091,7831,14.55,111821,471,26.75,20.6,1946.93,2814.12,164406,69.18,5415,1.41,133.43,1081.98,29306,12.33,197,253441508.5,11.28,1066.52,18893.81,13414,5.64,75,1808,33597014.09,1.5,141.38,22901.85,1467,0.62,7,28712359.6,1.28,120.83,46762.8,614,0.26,68508263.95,3.05,288.29,4806.25,14254,6,91,73724254.68,3.28,310.24,10439.57,7062,2.97,30,1851,168171808.6,7.49,707.69,784.11,214474,90.25,10413,144537299,6.43,608.23,924.42,156354,65.8,5623,44506166.45,1.98,187.29,240.4,185135,77.91,7773,39618767.78,1.76,166.72,240.18,164954,69.41,3490,40536768.2,1.8,170.58,632.75,64064,26.96,1731,21828425.45,0.97,91.86,23197.05,941,0.4,483,35037555.71,1.56,147.44,693.2,50545,21.27,972,19059449.97,0.85,80.2,844.51,22569,9.5,183,149089143.4,6.64,627.39,1067.81,139622,58.75,41175775.78
2017,,NE (Nebraska),31,273605,235282,38323,14.01,76,56.36,43.64,93.46,1.61,1.91,3.01,8.04,2141734675,9102.84,27.41,2495.1,14677.75,17,247,1117,7850,14.43,112206,477,27.01,19.58,1782.62,2593.05,161747,68.75,5176,1.33,121.03,998.63,28515,12.12,193,248954560.3,11.62,1058.11,17520.91,14209,6.04,80,1921,28166532.55,1.32,119.71,21452.04,1313,0.56,6,25484430.28,1.19,108.31,44866.95,568,0.24,68838370.52,3.21,292.58,4898.48,14053,5.97,92,70008471.3,3.27,297.55,9705.87,7213,3.07,31,1790,164518226.8,7.68,699.24,774.74,212352,90.25,10447,140178912.1,6.55,595.79,909.4,154145,65.51,5537,42173007.94,1.97,179.24,229.75,183564,78.02,7891,37424350.59,1.75,159.06,228.92,163482,69.48,3466,35821087.43,1.67,152.25,563.99,63514,26.99,1705,20236565.86,0.94,86.01,22164.91,913,0.39,483,32168781.61,1.5,136.72,646.09,49790,21.16,975,19000740.38,0.89,80.76,832.39,22827,9.7,186,132615102.9,6.19,563.64,966.07,137273,58.34,41199473.42
2016,,NE (Nebraska),31,265961,230537,35424,13.32,76,56.6,43.4,93.74,1.66,1.86,2.75,8.25,2050205114,8893.17,27.31,2428.55,14446.05,16.81,243,1095,7299,13.88,107957,468,26.67,18.69,1662.5,2455.86,156063,67.7,4975,1.22,108.6,935.68,26757,11.61,183,256523785.7,12.51,1112.72,17435.18,14713,6.38,84,2008,23976747.66,1.17,104,21350.62,1123,0.49,5,24371407.23,1.19,105.72,44151.1,552,0.24,67215613.76,3.28,291.56,4795.98,14015,6.08,95,70060767.13,3.42,303.9,10140.51,6909,3,31,1866,158966049.5,7.75,689.55,763.58,208185,90.3,10296,136054599.3,6.64,590.16,914.12,148836,64.56,5273,40582546.54,1.98,176.03,226.45,179209,77.74,7939,35884336,1.75,155.66,226.34,158539,68.77,3596,41121533.24,2.01,178.37,648.84,63377,27.49,1769,18784560.91,0.92,81.48,22659.3,829,0.36,465,29950637.63,1.46,129.92,614.46,48743,21.14,986,18342826.19,0.89,79.57,820.07,22367,9.7,185,120214752,5.86,521.46,903.94,132990,57.69,39979483.93
2015,,NE (Nebraska),31,258864,225314,33550,12.96,76,56.79,43.21,94.13,1.66,1.79,2.42,8.51,1989432597,8829.6,26.89,2374.01,13600.25,17.46,255,1155,7766,14.55,104840,465,26.83,17.88,1578.74,2347.92,151501,67.24,4848,1.12,98.74,875.43,25414,11.28,175,262220534.9,13.18,1163.8,17038.37,15390,6.83,90,2208,25225107.59,1.27,111.96,21359.11,1181,0.52,6,27744670.86,1.39,123.14,46318.32,599,0.27,65641265.79,3.3,291.33,4717.98,13913,6.17,96,67951700.51,3.42,301.59,9690.77,7012,3.11,32,1904,159780849.9,8.03,709.15,785.41,203435,90.29,10372,128331559.8,6.45,569.57,905.96,141653,62.87,4921,38470990.84,1.93,170.74,219.74,175075,77.7,8017,34168587.61,1.72,151.65,219.25,155840,69.17,3699,47133668.62,2.37,209.19,751.67,62705,27.83,1768,18143235.22,0.91,80.52,22850.42,794,0.35,452,26461942.37,1.33,117.44,559.76,47274,20.98,1003,19763797.37,0.99,87.72,885.87,22310,9.9,188,117766124.6,5.92,522.68,904.75,130164,57.77,37770902.16
2018,,NV (Nevada),32,410647,237148,173499,42.25,74,52.8,47.2,76.73,5.27,8.64,9.37,12.16,2246450938,9472.78,26.7,2529.6,16770.26,15.08,238,1191,9641,17.98,131660,555,27.66,10.5,994.58,2039.02,115674,48.78,2363,1.95,184.27,1311.58,33318,14.05,251,138066784.4,6.15,582.2,16698.93,8268,3.49,47,1146,114180539.7,5.08,481.47,23388.07,4882,2.06,25,40775528.2,1.82,171.94,37001.39,1102,0.46,145851602.8,6.49,615.02,6297.29,23161,9.77,205,75884791.82,3.38,319.99,12058.6,6293,2.65,28,1853,240528265.9,10.71,1014.25,1169.06,205745,86.76,13659,176891683.6,7.87,745.91,1173.04,150798,63.59,5783,86699091.44,3.86,365.59,478.64,181138,76.38,9521,73868643.26,3.29,311.49,467.77,157916,66.59,3871,39807116.79,1.77,167.86,719.89,55296,23.32,1398,36353851.77,1.62,153.3,22907.28,1587,0.67,815,8149327.1,0.36,34.36,605.45,13460,5.68,215,25677892.18,1.14,108.28,1103.86,23262,9.81,230,143073885.8,6.37,603.31,1135.23,126031,53.14,21190429.12
2017,,NV (Nevada),32,393446,231888,161558,41.06,74,52.71,47.29,77.1,5.29,8.54,9.07,12.03,2131177733,9190.55,27.53,2530.25,16312.69,15.51,243,1229,9444,17.77,127104,548,27.63,9.79,899.46,1855.2,112425,48.48,2329,1.9,174.76,1252.48,32355,13.95,249,137640855.2,6.46,593.57,15989.88,8608,3.71,50,1206,108556789.2,5.09,468.14,23190.94,4681,2.02,24,44741198.49,2.1,192.94,37098.84,1206,0.52,138520345.3,6.5,597.36,5967.87,23211,10.01,206,68164643.02,3.2,293.96,11222.36,6074,2.62,28,1705,234582525.4,11.01,1011.62,1163.31,201651,86.96,13754,166881546.4,7.83,719.66,1139.72,146423,63.14,5638,77290293.55,3.63,333.31,436.72,176979,76.32,9667,69622980.85,3.27,300.24,451.72,154127,66.47,3880,39666787.52,1.86,171.06,713.56,55590,23.97,1488,32387083.13,1.52,139.67,21223.51,1526,0.66,803,6861793.01,0.32,29.59,597.46,11485,4.95,185,24815154.69,1.16,107.01,1074.33,23098,9.96,230,126693536.6,5.94,546.36,1051.49,120490,51.96,18920151.06
2016,,NV (Nevada),32,376615,226517,150098,39.85,74,52.64,47.36,77.71,5.31,8.3,8.67,11.65,2032399757,8972.39,27.19,2439.57,16117.51,15.14,235,1228,8838,17.88,118893,525,26.69,9.86,885.04,1834.38,109288,48.25,2346,1.79,160.51,1162.56,31274,13.81,239,131412117.8,6.47,580.14,15953.88,8237,3.64,50,1224,101112557.2,4.98,446.38,22454.49,4503,1.99,24,53523793.35,2.63,236.29,41848.16,1279,0.56,133142854.5,6.55,587.78,5770.25,23074,10.19,207,63797123.65,3.14,281.64,11039.47,5779,2.55,27,1656,227768238.8,11.21,1005.52,1155.6,197100,87.01,13715,161405626.1,7.94,712.55,1146.31,140804,62.16,5427,70764641.59,3.48,312.4,409.52,172801,76.29,9834,65962327.47,3.25,291.2,440.67,149686,66.08,3993,41920043.27,2.06,185.06,755.42,55492,24.5,1558,30555375.17,1.5,134.89,21919.21,1394,0.62,775,5969607.69,0.29,26.35,547.67,10900,4.81,179,23980374.19,1.18,105.87,1064.19,22534,9.95,231,114646541.4,5.64,506.13,981.44,116815,51.57,16998243.95
2015,,NV (Nevada),32,360499,220252,140247,38.9,74,52.46,47.54,78.32,5.25,8.14,8.28,10.77,1952464191,8864.68,26.9,2384.33,15959.21,14.94,230,1232,8073,17.13,113651,516,26.67,9.54,845.95,1760.66,105824,48.05,2320,1.65,146.67,1110.41,29092,13.21,223,126804440.4,6.49,575.72,15785.44,8033,3.65,49,1266,99870732.09,5.12,453.44,21235.54,4703,2.14,25,53346797.77,2.73,242.21,43056.33,1239,0.56,127081808,6.51,576.98,5667.48,22423,10.18,203,61012103.4,3.12,277.01,10762.41,5669,2.57,27,1651,226397907.5,11.6,1027.9,1181.34,191645,87.01,13649,159875638.6,8.19,725.88,1208.09,132336,60.08,5160,69296161.61,3.55,314.62,413.59,167546,76.07,9905,65265510.69,3.34,296.32,445.46,146514,66.52,4051,47840740.43,2.45,217.21,872.77,54815,24.89,1579,29462114.87,1.51,133.77,22052.48,1336,0.61,763,5059137.88,0.26,22.97,480.54,10528,4.78,183,23790920.68,1.22,108.02,1070.24,22230,10.09,232,96671161.77,4.95,438.91,855.72,112970,51.29,16909198.46
2018,,NH (New Hampshire),33,225509,190427,35082,15.56,75,55.45,44.55,95.05,0.38,0.8,3.78,7.76,1651848372,8674.44,27.03,2344.84,15076,15.55,235,1194,6709,16.27,109771,576,30.07,24.35,2112.64,2546.11,158007,82.98,8008,0.89,77.5,984.76,14987,7.87,124,145429183.8,8.8,763.7,16035.86,9069,4.76,65,1582,50862888.13,3.08,267.1,21848.32,2328,1.22,14,5192749.16,0.31,27.27,34850.67,149,0.08,87703077.13,5.31,460.56,4540.2,19317,10.14,155,61211096.48,3.71,321.44,11266.54,5433,2.85,30,1844,144833284.7,8.77,760.57,853.85,169624,89.08,11123,93329245.88,5.65,490.11,795.73,117287,61.59,4153,25226595.87,1.53,132.47,191.29,131872,69.25,4428,27975136.13,1.69,146.91,215.99,129522,68.02,3255,24562585.8,1.49,128.99,552.46,44460,23.35,1289,13091537.71,0.79,68.75,22226.72,589,0.31,369,11514860.89,0.7,60.47,536.92,21446,11.26,487,21600833.31,1.31,113.43,937.99,23029,12.09,325,46579497.76,2.82,244.61,508.59,91585,48.09,29152635.55
2017,,NH (New Hampshire),33,217627,189450,28177,12.95,75,55.5,44.5,95.32,0.39,0.78,3.51,7.98,1582465448,8352.95,27.61,2305.88,14568.45,15.83,239,1180,6701,16.09,108842,575,30.01,22.68,1894.37,2283.18,157188,82.97,7956,0.83,69.34,906.76,14487,7.65,120,151223967.6,9.56,798.23,15741.02,9607,5.07,69,1653,50654862.65,3.2,267.38,21132.61,2397,1.27,14,5604463.95,0.35,29.58,30793.76,182,0.1,88065878.5,5.57,464.85,4579.85,19229,10.15,157,59572658.99,3.76,314.45,11269.89,5286,2.79,29,1805,140962002.2,8.91,744.06,835.82,168651,89.02,10993,90506083.57,5.72,477.73,783.19,115560,61,4067,23603618.28,1.49,124.59,181.07,130353,68.81,4436,26592185.48,1.68,140.37,207.27,128298,67.72,3201,21399577.21,1.35,112.96,485.7,44059,23.26,1286,12126877.97,0.77,64.01,21929.25,553,0.29,357,10809540.75,0.68,57.06,579.88,18641,9.84,434,21396285.78,1.35,112.94,922.44,23195,12.24,328,43195394.02,2.73,228,501.67,86103,45.45,27877809.29
2016,,NH (New Hampshire),33,209736,188543,21193,10.1,75,55.59,44.41,95.64,0.39,0.75,3.22,8.06,1534793271,8140.28,27.24,2217.62,14071.35,15.76,236,1161,6452,15.81,106737,566,29.65,22.38,1822.17,2205.28,155789,82.63,7996,0.85,68.94,880.16,14767,7.83,122,152370865,9.93,808.15,15860.4,9607,5.1,69,1690,51406764.21,3.35,272.65,20795.62,2472,1.31,15,5435492.63,0.35,28.83,33143.25,164,0.09,85652473.92,5.58,454.29,4435.88,19309,10.24,158,54087243.75,3.52,286.87,10549.49,5127,2.72,28,1674,137713417.4,8.97,730.41,820.02,167939,89.07,10901,88766023.42,5.78,470.8,773.82,114710,60.84,3927,22843408.8,1.49,121.16,177.84,128449,68.13,4415,25971368.04,1.69,137.75,205.37,126462,67.07,3343,24649175.61,1.61,130.74,550.24,44797,23.76,1350,11720469.12,0.76,62.16,20817.88,563,0.3,352,10366481.05,0.68,54.98,574.89,18032,9.56,424,20823494.82,1.36,110.44,898.73,23170,12.29,329,40624630.35,2.65,215.47,483.26,84063,44.59,27690385.22
2015,,NH (New Hampshire),33,202608,184935,17673,8.72,75,55.78,44.22,96.06,0.39,0.71,2.84,8.44,1484528877,8027.3,26.9,2159.55,13651.08,15.82,238,1216,6403,15.94,104934,567,29.95,21.09,1693.04,2068.75,151348,81.84,7801,0.81,64.86,866.91,13836,7.48,114,161332953.1,10.87,872.38,16029.11,10065,5.44,74,1864,47824454.01,3.22,258.6,20170.58,2371,1.28,14,7685933.14,0.52,41.56,38622.78,199,0.11,82782530.21,5.58,447.63,4304.64,19231,10.4,161,49172352.32,3.31,265.89,9980.18,4927,2.66,28,1589,139395897.7,9.39,753.76,844.68,165029,89.24,10936,83800072.08,5.64,453.13,763.87,109704,59.32,3675,21636385.98,1.46,116.99,172.98,125076,67.63,4481,25207139.31,1.7,136.3,201.8,124912,67.54,3411,29304003.97,1.97,158.46,657.34,44580,24.11,1398,11635483.83,0.78,62.92,21310.41,546,0.3,350,9403604.68,0.63,50.85,538.8,17453,9.44,428,22032256.94,1.48,119.14,955.24,23065,12.47,343,40348509.78,2.72,218.18,472.94,85315,46.13,28495008.54
2018,,NJ (New Jersey),34,1267207,923096,344111,27.16,76,58.03,41.97,78.97,7.61,6.27,7.15,9.81,9780083157,10594.87,25.94,2748.52,16280.23,16.88,268,1516,40914,17.8,511756,554,28.98,13.8,1461.9,2572.21,524633,56.83,3293,1.34,142.31,991.37,132509,14.35,233,964640554.4,9.86,1045.01,16305.62,59160,6.41,92,2168,242893901.2,2.48,263.13,23168.06,10484,1.14,13,89210913.59,0.91,96.64,57186.48,1560,0.17,342322991.7,3.5,370.84,4137.53,82736,8.96,132,293791193.4,3,318.27,10825.82,27138,2.94,31,1880,1270956931,13,1376.84,1475.31,861483,93.33,18216,769514554.1,7.87,833.62,1126.04,683378,74.03,8162,366877615.3,3.75,397.44,457.4,802086,86.89,12416,284299071.2,2.91,307.98,418.38,679527,73.61,4385,140613124.8,1.44,152.33,583.89,240821,26.09,1405,178499050,1.83,193.37,23765.02,7511,0.81,1002,4063117.54,0.04,4.4,436.19,9315,1.01,35,102776365.3,1.05,111.34,1192.52,86184,9.34,349,563660923.8,5.76,610.62,950.83,592811,64.22,147983512.9
2017,,NJ (New Jersey),34,1243134,923572,319562,25.71,76,58.24,41.76,78.88,7.83,6.45,6.84,10.45,9443310727,10224.77,26.6,2719.39,15770.26,17.24,273,1532,41573,17.82,513935,556,29.11,12.53,1281.39,2284.09,518129,56.1,3193,1.35,137.83,952.33,133668,14.47,235,983764324.4,10.42,1065.17,16029.53,61372,6.65,95,2252,236753147.4,2.51,256.35,22578.02,10486,1.14,13,97195660.26,1.03,105.24,51535.34,1886,0.2,346363593.5,3.67,375.03,4092.97,84624,9.16,135,278056597.3,2.94,301.07,10450.9,26606,2.88,30,1768,1251007951,13.25,1354.53,1451.54,861850,93.32,18078,749867924.4,7.94,811.92,1104.71,678793,73.5,7993,353403708.5,3.74,382.65,440.41,802437,86.88,12566,280444358.4,2.97,303.65,413.16,678778,73.49,4380,124510609.6,1.32,134.81,528.77,235472,25.5,1355,164665805.9,1.74,178.29,21970.09,7495,0.81,991,4120128.69,0.04,4.46,445.23,9254,1,37,101012298.9,1.07,109.37,1155.6,87411,9.46,345,509039166.2,5.39,551.16,881.02,577781,62.56,140798229.6
